input,labels,input_len,preprocessed
"Excuse me Sir , your pubic hair is coming out from your underwear .",0,14,"Excuse me Sir , your pubic hair is coming out from your underwear ."
"Most of his movies are twisted , so I was surprised when I heard that he had directed this kind of hero movie .",0,24,"Most of his movie are twisted , so I wa surprised when I heard that he had directed this kind of hero movie ."
 Vocabulary - Sitcom Friends and two textbooks,1,8, Vocabulary - Sitcom Friends and two textbook
This drama is my favorite drama ever .,1,8,This drama is my favorite drama ever .
My English is unworthy .,0,5,My English is unworthy .
The happy financial reporting of Chugai Pharmaceutical .,0,8,The happy financial reporting of Chugai Pharmaceutical .
I wish your day is special .,0,7,I wish your day is special .
"As we find that if we still do not do some exercises , our body will be flatter and weeker .",1,21,"As we find that if we still do not do some exercise , our body will be flatter and weeker ."
Korea is a homogeneous country .,1,6,Korea is a homogeneous country .
Of course there were some problems .,1,7,Of course there were some problem .
I was very suprised his speed and appetite .,0,9,I wa very suprised his speed and appetite .
In the same way as the technical growth of the ski,0,11,In the same way a the technical growth of the ski
"In a word , I believe that the city can make a better life .",1,15,"In a word , I believe that the city can make a better life ."
"A day of crisis all of relatively calm in the Egyptian capital even as senior leadership of the ruling party , including H .",1,24,"A day of crisis all of relatively calm in the Egyptian capital even a senior leadership of the ruling party , including H ."
I was surprised !,0,4,I wa surprised !
"Hello , lang - users !",1,6,"Hello , lang - user !"
"This morning , my girlfriend called me .",0,8,"This morning , my girlfriend called me ."
"Complete the second sentence so that it has a similar meaning to the first sentence , using the word given .",0,21,"Complete the second sentence so that it ha a similar meaning to the first sentence , using the word given ."
Today an idea hit upon in my mind . Why do the people read books ? ,0,17,Today an idea hit upon in my mind . Why do the people read book ? 
"When he becomes like that , he can listen to nothing .",1,12,"When he becomes like that , he can listen to nothing ."
So I was surprised and impressed by the unexpected active situations .,1,12,So I wa surprised and impressed by the unexpected active situation .
Roads to Furano got choked because many visitors rushed Lavender gardens .,0,12,Roads to Furano got choked because many visitor rushed Lavender garden .
I play badminton once a week and today was that day .,0,12,I play badminton once a week and today wa that day .
"The first time I called him , I was not able to follow him at all , because his way of pronouncing English is so different from the American English which I am used to hearing .",1,37,"The first time I called him , I wa not able to follow him at all , because his way of pronouncing English is so different from the American English which I am used to hearing ."
I was excited a little though I usually did not watch,1,11,I wa excited a little though I usually did not watch
"So , the weather is very warm .",1,8,"So , the weather is very warm ."
"So , as the Mid - Autumn day s coming , best wishes for all my dear friends !",0,19,"So , a the Mid - Autumn day s coming , best wish for all my dear friend !"
 I see .,0,4, I see .
I do not care which nationality you have .,1,9,I do not care which nationality you have .
"I thought I learned them when I was high school student , math was very difficult for me .",0,19,"I thought I learned them when I wa high school student , math wa very difficult for me ."
Now I am thankful for being in front of my computer as usual .,0,14,Now I am thankful for being in front of my computer a usual .
strange food,0,2,strange food
"So , I wonder if I should take it easy .",1,11,"So , I wonder if I should take it easy ."
"I hope to go to see the cherry blossom this Sunday , ",1,13,"I hope to go to see the cherry blossom this Sunday , "
She is singer,0,3,She is singer
I took a painting class in Tokyo yesterday .,0,9,I took a painting class in Tokyo yesterday .
"Hopefully , I can enjoy snowing next time .",1,9,"Hopefully , I can enjoy snowing next time ."
"Once upon a time a young girl , called Mariah .",0,11,"Once upon a time a young girl , called Mariah ."
After lunch I drove the car to go to the store .,1,12,After lunch I drove the car to go to the store .
I am in charge of voice systems which are installed in the global branch .,1,15,I am in charge of voice system which are installed in the global branch .
It was probably first time that cotten candy was not effective to convince him .,0,15,It wa probably first time that cotten candy wa not effective to convince him .
"I love this site , and I want to make frends through this way",0,14,"I love this site , and I want to make frends through this way"
 What happens to the hole when the chees is gone ?,0,12, What happens to the hole when the chees is gone ?
" . Inorganic chemical products such as nitrate , nitrite , fluoride , arsenic , selenium , mercury .",0,19," . Inorganic chemical product such a nitrate , nitrite , fluoride , arsenic , selenium , mercury ."
He would take photoglaphs of old buildings .,0,8,He would take photoglaphs of old building .
Keep going for a goal .,1,6,Keep going for a goal .
 Type Select indented or run - in .,1,9, Type Select indented or run - in .
I have not been aware of the haze over my hometown until this summer though I have so many times looked up to the sky .,0,26,I have not been aware of the haze over my hometown until this summer though I have so many time looked up to the sky .
That is the first time that I have sold it .,1,11,That is the first time that I have sold it .
Second asking,1,2,Second asking
I was with my friend and we both was so happy for the Tiger is win .,0,17,I wa with my friend and we both wa so happy for the Tiger is win .
Then I left there and had lunch .,0,8,Then I left there and had lunch .
She works as a dietitian .,0,6,She work a a dietitian .
"Also , in the world , actions driving nuclear - power policy seem to certainly slow down .",1,18,"Also , in the world , action driving nuclear - power policy seem to certainly slow down ."
my name is Klaudia .,0,5,my name is Klaudia .
"I got into a panic when many things , such as Japanese phrases , English Phrase , grammar stuffs and other is worrisome faces , came up my mind quickly , just like flash - back .",0,37,"I got into a panic when many thing , such a Japanese phrase , English Phrase , grammar stuff and other is worrisome face , came up my mind quickly , just like flash - back ."
Next is also an animal is sneeze ,0,8,Next is also an animal is sneeze 
"Then I figured , well , geek is kind of way better than chubby or pig . Goodness I am all alive again .",1,24,"Then I figured , well , geek is kind of way better than chubby or pig . Goodness I am all alive again ."
"Sometimes , I find comments written in English by my friends who can speak English .",1,16,"Sometimes , I find comment written in English by my friend who can speak English ."
One should be always concentrated and careful .,0,8,One should be always concentrated and careful .
The mirror room was very beautiful .,0,7,The mirror room wa very beautiful .
"Since I was child , I have been fond of it .",0,12,"Since I wa child , I have been fond of it ."
"I can breast stroke better than crawl , so I practice crawl now .",0,14,"I can breast stroke better than crawl , so I practice crawl now ."
For the first time I did not meet anyone acquaintance at the airport .,1,14,For the first time I did not meet anyone acquaintance at the airport .
"The master said to the customer contentedly , Things went as I said . ",1,15,"The master said to the customer contentedly , Things went a I said . "
 th . We d . June . Karaoke,1,9, th . We d . June . Karaoke
At that time it was really fantastic weather . I could see wild blue sky and white beaches surrounded by an emerald - color sea I had never seen before .,1,31,At that time it wa really fantastic weather . I could see wild blue sky and white beach surrounded by an emerald - color sea I had never seen before .
You need a good sense of design to judge good design .,0,12,You need a good sense of design to judge good design .
I asked her Do you know Doramichan ? ,0,9,I asked her Do you know Doramichan ? 
A Bittersweet Life,1,3,A Bittersweet Life
"After the class , I went to the shrine for the first time this year .",1,16,"After the class , I went to the shrine for the first time this year ."
The term WYSIWYG originated as an acronym for What You See Is What You Get .,0,16,The term WYSIWYG originated a an acronym for What You See Is What You Get .
not hot,1,2,not hot
The food was delicious . My friend was happy .,1,10,The food wa delicious . My friend wa happy .
"So , now I am sitting and eating my favorite cereal . I am like a child .",1,18,"So , now I am sitting and eating my favorite cereal . I am like a child ."
Google homepage .,0,3,Google homepage .
"I do not know whether he is smart or not , but he is a very good squash player .",0,20,"I do not know whether he is smart or not , but he is a very good squash player ."
"Soon , our class teacher enters the room .",0,9,"Soon , our class teacher enters the room ."
"When I have such a feeling , ",1,8,"When I have such a feeling , "
I started to study english .,0,6,I started to study english .
It motivated me a lot .,0,6,It motivated me a lot .
This bridge is Sungsan Bridge made in in Seoul .,0,10,This bridge is Sungsan Bridge made in in Seoul .
I ca not cirresponding to human socielty .,0,8,I ca not cirresponding to human socielty .
And help you relax and ease the pain of your throat .,0,12,And help you relax and ease the pain of your throat .
There are a lot of kind of them all over the world .,0,13,There are a lot of kind of them all over the world .
Do you catch a cold ?,1,6,Do you catch a cold ?
One of the reasons is that I can not read Arabic at all .,1,14,One of the reason is that I can not read Arabic at all .
An economic position .,0,4,An economic position .
Open his legs toward front and back .,0,8,Open his leg toward front and back .
so crowded .,0,3,so crowded .
I ran into a friend who I had not seen for a long time on the subway .,1,18,I ran into a friend who I had not seen for a long time on the subway .
"For instance , The One , Drowning , I will never break your heart , The perfect fun , and Everybody ",0,22,"For instance , The One , Drowning , I will never break your heart , The perfect fun , and Everybody "
I ca not decide .,1,5,I ca not decide .
"He asks himself what it is all for , and why he should bother .",1,15,"He asks himself what it is all for , and why he should bother ."
And we have been warning them throught our seven years their i .,0,13,And we have been warning them throught our seven year their i .
I want to know he is famous in USA or not .,0,12,I want to know he is famous in USA or not .
We are about C or F I am not good with the convertions u .,0,15,We are about C or F I am not good with the convertions u .
I should go to bed early .,0,7,I should go to bed early .
She was not sure she could pass them or not .,1,11,She wa not sure she could pas them or not .
I am renting the apartment which has one dining room and two rooms .,1,14,I am renting the apartment which ha one dining room and two room .
"This is the photo , and the BBS topic about it .",1,12,"This is the photo , and the BBS topic about it ."
I went to bank for exchanging money .,0,8,I went to bank for exchanging money .
"UBL , BL and PBL are commonly aimed active participation of the students .",0,14,"UBL , BL and PBL are commonly aimed active participation of the student ."
"During the days in my hometown , I had been able to have interest in and concern about my neighborhoods , which made me step back from my problems having overwhelmed me .",0,33,"During the day in my hometown , I had been able to have interest in and concern about my neighborhood , which made me step back from my problem having overwhelmed me ."
"I am a member of this group , too !",1,10,"I am a member of this group , too !"
It was very hard time .,0,6,It wa very hard time .
"Now , I drew the map shows the way to my house .",0,13,"Now , I drew the map show the way to my house ."
But now I will try to constantly write something here .,1,11,But now I will try to constantly write something here .
They ca not buy flats .,0,6,They ca not buy flat .
I enrolled in a cram school for the degree entrance examination one week ago .,1,15,I enrolled in a cram school for the degree entrance examination one week ago .
The photograph is the produced on work .,0,8,The photograph is the produced on work .
"Not only do they have a doubt about the judgment , but also , unbelievably , they slander Yuna with discriminative words on the internet .",1,26,"Not only do they have a doubt about the judgment , but also , unbelievably , they slander Yuna with discriminative word on the internet ."
The PC is lap top .,0,6,The PC is lap top .
" shows uncomfortable look Now , why advertise ?",1,9," show uncomfortable look Now , why advertise ?"
"But now , I do not know what do I want .",0,12,"But now , I do not know what do I want ."
We stayed at there until morning !,0,7,We stayed at there until morning !
"Some think it is beneficial , but other people disagree .",1,11,"Some think it is beneficial , but other people disagree ."
Finally I spoke to the last man in black who I would not spoken to yet .,1,17,Finally I spoke to the last man in black who I would not spoken to yet .
The way of studying English,0,5,The way of studying English
i have older sister and older brother .,0,8,i have older sister and older brother .
 Clannad extra episode - kyou chapter - scene ,1,10, Clannad extra episode - kyou chapter - scene 
This was precious for me .,1,6,This wa precious for me .
I was saprised because of spectators is cheering !It was interested for me !,0,14,I wa saprised because of spectator is cheering !It wa interested for me !
I think the best way to learn foreign languages is to use Podcast for those who ca not go to the country where native speakers live or who ca not have friends of its native language .,0,37,I think the best way to learn foreign language is to use Podcast for those who ca not go to the country where native speaker live or who ca not have friend of it native language .
After that we and more friends ate dinner .,0,9,After that we and more friend ate dinner .
"Hi everyone , ",0,4,"Hi everyone , "
And just go home .,1,5,And just go home .
and always study hard only on the eve of exams . It is awful !,1,15,and always study hard only on the eve of exam . It is awful !
She thinks fish does not have a brain so it can be killed and tastes good .,0,17,She think fish doe not have a brain so it can be killed and taste good .
I called a city office and asked if they had my bicycle .,0,13,I called a city office and asked if they had my bicycle .
I drink a cup of soymilk in a strawberry or barley tea .,1,13,I drink a cup of soymilk in a strawberry or barley tea .
National intelligence,0,2,National intelligence
I want to sleep and hope I can wake up at AM in the morning .,1,16,I want to sleep and hope I can wake up at AM in the morning .
"So , I checked them to see who wanted to drink with me , but nobody wanted .",1,18,"So , I checked them to see who wanted to drink with me , but nobody wanted ."
"However , I could not pronounce one character of my name no matter how I tried .",1,17,"However , I could not pronounce one character of my name no matter how I tried ."
Sometimes I sing songs as well .,1,7,Sometimes I sing song a well .
Nowadays I am going to prepare for the coming exhibition of human revolution .,1,14,Nowadays I am going to prepare for the coming exhibition of human revolution .
She is one year older than I .,0,8,She is one year older than I .
 WE - Third photo,1,5, WE - Third photo
You may know that Lang - can be combined with Twitter .,1,12,You may know that Lang - can be combined with Twitter .
Thank you very much in advance ! !,0,8,Thank you very much in advance ! !
So I saw them off at the airport .,1,9,So I saw them off at the airport .
I heard there are absences in my daughter is class today .,0,12,I heard there are absence in my daughter is class today .
The only solution for them was to get married .,0,10,The only solution for them wa to get married .
That taste really depends on the restaurants .,0,8,That taste really depends on the restaurant .
"We did talking , eating and playing tag .",0,9,"We did talking , eating and playing tag ."
because I always need to help .,1,7,because I always need to help .
"Perhaps , I have watched television too much .",1,9,"Perhaps , I have watched television too much ."
He reasons Why involve someone else when I can do it myself ? He keeps his problems to himself unless he requires help from another to find a solution .,1,30,He reason Why involve someone else when I can do it myself ? He keep his problem to himself unless he requires help from another to find a solution .
"In Japan , there are a lot of fast food restaurants around town .",1,14,"In Japan , there are a lot of fast food restaurant around town ."
"So , as the Mid - Autumn day s coming , best wishes to all my dear friends !",1,19,"So , a the Mid - Autumn day s coming , best wish to all my dear friend !"
LeBron James seemed to be baffled with booing by the audience .,0,12,LeBron James seemed to be baffled with booing by the audience .
"All the traditional clothes , handwritings , traditional Chinese paintings exhibited in the opening ceremony of the Olympics surprised the world .",1,22,"All the traditional clothes , handwriting , traditional Chinese painting exhibited in the opening ceremony of the Olympics surprised the world ."
I was so tired after I walked almost six hours .,1,11,I wa so tired after I walked almost six hour .
I am Alison and I was born on th Jenuary in Ketrzyn in Poland .,0,15,I am Alison and I wa born on th Jenuary in Ketrzyn in Poland .
"As a result , I hurt someone .",1,8,"As a result , I hurt someone ."
but I did .,0,4,but I did .
"If I were born a man , I hope I could be a tall and stormy .",0,17,"If I were born a man , I hope I could be a tall and stormy ."
Is the picture bad ?,1,5,Is the picture bad ?
"I want to write on this site about a problem in Japan and a solution to that , but my poor English disturbs me .",1,25,"I want to write on this site about a problem in Japan and a solution to that , but my poor English disturbs me ."
They are mixed twins .,0,5,They are mixed twin .
"I think this typhoon bring no damage to my house , which is not near a big river .",0,19,"I think this typhoon bring no damage to my house , which is not near a big river ."
"Thank you , ",0,4,"Thank you , "
We are very similar .,0,5,We are very similar .
Someone in the residents is a flower designer,0,8,Someone in the resident is a flower designer
No one can answer .,1,5,No one can answer .
"The speed of this site is very slow , is not it ?",0,13,"The speed of this site is very slow , is not it ?"
 - Where have you been this summer ?,1,9, - Where have you been this summer ?
It was a very good seminar and served as a reference .,1,12,It wa a very good seminar and served a a reference .
I felt I was lucky to be born as Japanese ! !,0,12,I felt I wa lucky to be born a Japanese ! !
Cleaning the Shinto shrine .,0,5,Cleaning the Shinto shrine .
"I am attending English Lunch , where English class teachers and students have a chat over lunch at college .",1,20,"I am attending English Lunch , where English class teacher and student have a chat over lunch at college ."
Hello Hello Hello,0,3,Hello Hello Hello
That is all for today .,0,6,That is all for today .
 Under construction . ,1,5, Under construction . 
The scene was like a drawing in India ink .,0,10,The scene wa like a drawing in India ink .
This taught me how to deal with people from different countries and broadened my horizons .,0,16,This taught me how to deal with people from different country and broadened my horizon .
hot hot hot,1,3,hot hot hot
He enjoys being at home alone reading a book .,0,10,He enjoys being at home alone reading a book .
But i want to write as long as possible .,0,10,But i want to write a long a possible .
Should I be easy going to make a comment on another diary ?,1,13,Should I be easy going to make a comment on another diary ?
It remained hours .,1,4,It remained hour .
"I think cooking is not mean love , it could mean friendship , family love and all good wishes for those whom you want cook for , it is a happy way enjoying life when i want to express my emotions .",0,42,"I think cooking is not mean love , it could mean friendship , family love and all good wish for those whom you want cook for , it is a happy way enjoying life when i want to express my emotion ."
Can you say that the Japanese people are happy ?,0,10,Can you say that the Japanese people are happy ?
Does he love me ?,1,5,Does he love me ?
She is such a good girl that she never barks loudly .,1,12,She is such a good girl that she never bark loudly .
"If they were too easy to play , I would not take them very seriously .",0,16,"If they were too easy to play , I would not take them very seriously ."
"For instance , the character that takes the form of the book can exceed time and the place , so to speak , the history .",1,26,"For instance , the character that take the form of the book can exceed time and the place , so to speak , the history ."
We all call him MR .,1,6,We all call him MR .
He cried and I told him to go to a hospital .,0,12,He cried and I told him to go to a hospital .
We hold a barbecue party .,1,6,We hold a barbecue party .
I eat too much chocolate and sweets and I do not eat enough fruit .,1,15,I eat too much chocolate and sweet and I do not eat enough fruit .
Japanese Animation,0,2,Japanese Animation
This will give a power for studying from tomorrow .,0,10,This will give a power for studying from tomorrow .
Today is Monday .,1,4,Today is Monday .
"I do not think that I can speak English well , on the other hand , I can get a nerve .",1,22,"I do not think that I can speak English well , on the other hand , I can get a nerve ."
I think that he takes not only emotional but also practical aspect into consideration .,0,15,I think that he take not only emotional but also practical aspect into consideration .
or strenghten the another industries which has strengthness ?,0,9,or strenghten the another industry which ha strengthness ?
I ca not have written my diary because I have been busy .,0,13,I ca not have written my diary because I have been busy .
Things To Do,1,3,Things To Do
" ' Quiet , you ! ' ",0,8," ' Quiet , you ! ' "
"People of old saying , Do in Rome as the Romans do . ",0,14,"People of old saying , Do in Rome a the Romans do . "
